model,config,hyperparameters,cv_top1_mean,cv_top1_std,cv_logloss_mean,val_top1_accuracy,val_top3_recall,val_winner_mrr,val_log_loss,val_brier_score,val_ece,test_top1_accuracy,test_top3_recall,test_winner_mrr,test_log_loss,test_brier_score,test_ece,fit_seconds_train_split,predict_ms_per_row,selected
pole_baseline,default,zoo defaults (src/models/registry.py),0.5190709617180206,0.0785438542776972,1.7126395385190962,0.5454545454545454,0.5454545454545454,0.5681818181818182,1.6383478813235068,0.0454545454545454,0.0454545454545454,,,,,,,0.0006,0.0003,No
logreg,tuned,"{""model__C"": ""0.01653693718282442""}",0.5595025889143536,0.0631842996211457,0.3107386804174946,0.6818181818181818,0.8863636363636364,0.7962121212121211,0.2679405632203948,0.0884045060555228,0.1534844849184069,0.4583333333333333,0.75,0.6433712121212122,0.3277253315977506,0.1095985220717589,0.1670946436226908,0.0342,0.0022,Yes
random_forest,default,zoo defaults (src/models/registry.py),0.5338256514727103,0.0968134253324719,0.1327834750994467,0.6136363636363636,0.8863636363636364,0.7594696969696971,0.1023612121420418,0.0300362341111209,0.0291085472865729,,,,,,,0.5183,0.0845,No
xgboost,default,zoo defaults (src/models/registry.py),0.4593837535014005,0.1146265354320483,0.1552482087602834,0.5681818181818182,0.8181818181818182,0.715719696969697,0.1316273279188017,0.0394741192077587,0.0288327890774364,,,,,,,0.4415,0.0052,No
lightgbm,default,zoo defaults (src/models/registry.py),0.4460996519820049,0.0973745118759164,0.2483707481658232,0.5454545454545454,0.8636363636363636,0.7037878787878787,0.1654396837292108,0.0398754000177703,0.0376657889262947,,,,,,,0.5299,0.0048,No
random_forest,tuned (rejected: fails pole gate on val),"{""model__min_samples_leaf"": ""9"", ""model__max_depth"": ""6"", ""model__max_features"": ""0.7762152770114458"", ""model__n_estimators"": ""366""}",0.5659685086155674,0.0856603435586089,0.19498690069605265,0.5227272727272727,0.8636363636363636,0.7083333333333334,0.1633476728265716,0.051655774857239135,0.07510336091333301,,,,,,,,,No
